company_id,name,sector,cagr,sfr,margin,investing_score
2,BlackRock,Fintech & payments,,,0.1995891406530353,0.9479752425300041
10,Navan,Enterprise / ERP / HRM,,,,
15,Rubrik,Cybersecurity & identity,,,,
17,TransUnion,Fintech & payments,0.12486310123359234,,0.27305587460306735,0.5258250695418478
20,Forge,Fintech & payments,0.11327646184162732,,-0.020873151036305305,0.5010874456062958
21,MetLife,Fintech & payments,0.1347479850507196,,5.8102449888641425,0.548891552631146
22,Yext,Productivity & collaboration,0.45968770987811025,0.016980945799190444,0.00300361731320943,0.5976739174221053
26,"Fluent, Inc.",Advertising & attention,0.01451575549133155,0.7868769396415226,0.03773424449506454,0.45411034249119653
29,Hinge,Marketplaces & gig platforms,,,,
33,SoFi,Fintech & payments,0.4854597365942446,-1.1827951151985037,-1.2711245942677727,0.5134604990505142
45,BlackLine,Enterprise / ERP / HRM,0.6163850249656075,0.5026493897679374,0.13575176780859532,0.6785954311900984
47,Chime,Fintech & payments,,,,
55,Tempus AI,GovTech / RegTech / MedTech,,-1.1264289301858363,-0.24257929789240812,0.5710352944302161
62,Coinbase,Fintech & payments,,0.322372665622374,0.03939327986008623,0.6683310881001453
63,Pfizer,GovTech / RegTech / MedTech,0.2484235285591958,2.039561855670103,0.2892710649864097,0.5940026753152249
64,Atlassian,Productivity & collaboration,,0.3991910893047771,0.20593184702849576,0.6845814167601593
70,Zeta Global,Advertising & attention,0.2856583914197346,0.5556465947119531,0.06377053564532162,0.5511694753232808
71,UL Solutions,GovTech / RegTech / MedTech,,,0.12961672473867597,0.9377356388580262
73,Block,Fintech & payments,0.5184021782499884,0.485978951740301,0.04800522365322453,0.6368997850870997
76,MarketAxess,Marketplaces & gig platforms,0.043503482116361125,,0.3748483483423627,0.4879467256749958
84,Clearwater Analytics (CWAN),Enterprise / ERP / HRM,0.22108134757449527,-0.02090749635132432,-0.006127525613127041,0.5052031775531295
85,Squarespace,E-commerce platforms,,0.5375451092866035,0.17305057141407104,0.689496615042682
87,Mastercard,Fintech & payments,-0.014929158464114911,,0.4721260048362852,0.46225827954172727
90,ServiceNow,Enterprise / ERP / HRM,0.24861786867218005,1.010180995475113,0.24423141232861442,0.5594172112795476
93,Braze,Advertising & attention,0.48751303254195744,-0.12475861368025205,-0.03094082802949146,0.6022801126635777
96,Capital One,Fintech & payments,0.12165142590359856,,3.0827026029167435,0.5417665826479775
97,Snap Inc.,Advertising & attention,0.20933640561031552,-0.07945966442316807,-0.03642972050135522,0.4975411268052332
101,Magnite,Advertising & attention,0.6895237763012512,0.4295960993431745,0.06827948840019385,0.7011668784973483
113,Skillsoft,E-learning & skill platforms,0.2934257872912289,-0.016109325118957935,-0.0016014618261054243,0.5331046875269156
120,Upstart,Fintech & payments,0.3855308618471638,0.1509257193688039,0.028357999661605127,0.5747989887861604
128,Qualtrics,Enterprise / ERP / HRM,,-1.0528413102688374,-0.3131975206780815,0.5697621714916448
129,Affirm,Fintech & payments,0.31517216208676224,,-0.2002388121155348,0.599676391035089
133,Datadog,Developer tooling,0.4522572392573825,0.14500013956251803,0.06512506716016954,0.6016359583144253
145,Take-Two Interactive Software,Gaming & virtual environments,0.6285446482426285,,0.19563969413375942,0.7949895766694931
146,SharkNinja,Creative & design tools,,,,
150,Taboola,Advertising & attention,0.10401635484480054,0.46619206634618915,0.044121457124301496,0.47829315492584895
152,Enova,Fintech & payments,0.25141773091078146,,0.42674811429163895,0.6043140452010232
155,DraftKings,Marketplaces & gig platforms,,,-0.11445102885284061,0.9020193207456749
158,MongoDB,Developer tooling,0.41340195978997696,-0.10119471083160221,-0.033807059426722,0.5746791733578659
165,CoreWeave,Developer tooling,,,,
166,Camber,Fintech & payments,1.997379681886276,,-2.9415460931417985,0.7807037201294149
182,Morningstar,Fintech & payments,0.13118981150839737,,0.20544210413770983,0.5250265369835322
183,Zscaler,Cybersecurity & identity,0.49732573868922514,0.3322416448615254,0.0862085871341554,0.625669497525567
187,GoodRx,Marketplaces & gig platforms,0.09520882264688346,0.9175894422825684,0.17133952728705348,0.49485565264103615
207,Arena (arena-ai),AI foundation models,,,-1.2889320123909949,0.7301484537110949
211,Immunovant,GovTech / RegTech / MedTech,,-0.9658846660470173,,0.27579185346717067
228,Fox Corporation,Advertising & attention,0.03246190618041833,,0.16924287963360526,0.46904494940647606
241,Charlie Health,GovTech / RegTech / MedTech,,-5.926443963613884,-0.10584615384615384,0.4516392692591678
251,Angi,Marketplaces & gig platforms,0.34764418730370994,3.0192012180508367,0.13225390704846549,0.6559978985191299
265,The Trade Desk,Advertising & attention,0.30769467674157225,0.919180464018417,0.19449622839290487,0.5768424071128646
293,Marsh McLennan,Enterprise / ERP / HRM,,,0.15464461646727656,0.9413981634214157
320,Voya Financial,Fintech & payments,0.05281024585957761,,0.6602822580645161,0.5043146583746185
338,Co-Star,Subscription content,0.04574425548272898,,0.046007376997714226,0.46854213739894573
344,BuzzFeed,Advertising & attention,-0.12322528442812142,-0.3262597596854568,-0.018959327109684395,0.377843238682566
347,Orion Group,Enterprise / ERP / HRM,0.47081285516389504,,0.01201038681858477,0.6976616343014936
