company_id,company_name,cik,matched_name
659,Ares Management Corporation,1176948,Ares Management Corp
663,Compass,18568,COMPASS BANCSHARES INC
664,"CF Industries Holdings, Inc.",1324404,"CF Industries Holdings, Inc."
668,Livewire,61442,LIBERTY LIVEWIRE CORP
678,FTD,944537,FTD INC
680,DoubleVerify,1819928,"DoubleVerify Holdings, Inc."
683,NetSmart,1011028,NETSMART TECHNOLOGIES INC
688,Allstate,899051,ALLSTATE CORP
699,Boingo Wireless,1169988,BOINGO WIRELESS INC
704,Federal Home Loan Bank of Chicago,1331451,Federal Home Loan Bank of Chicago
713,Rewards Network,78536,REWARDS NETWORK INC
714,Bazaarvoice,1330421,Bazaarvoice Inc
735,Upwork,1627475,"UPWORK, INC"
738,Duck Creek Technologies,1160951,"DUCK CREEK TECHNOLOGIES, INC."
752,PayPal,1633917,"PayPal Holdings, Inc."
754,CME Group,1156375,CME GROUP INC.
758,Cboe Global Markets,1374310,"Cboe Global Markets, Inc."
762,Interactive Brokers,1381197,"Interactive Brokers Group, Inc."
769,Methode Electronics,65270,METHODE ELECTRONICS INC
788,iHeartMedia,1400891,"iHeartMedia, Inc."
791,Workday,1327811,"Workday, Inc."
801,Spectrum,109177,"Spectrum Brands Holdings, Inc."
813,Cloudflare,1477333,"Cloudflare, Inc."
832,TaskUs,1829864,"TaskUs, Inc."
835,Journal Technologies Inc,783412,DAILY JOURNAL CORP
842,Epirus,1135906,"EPIRUS Biopharmaceuticals, Inc."
859,Southwest Airlines,92380,SOUTHWEST AIRLINES CO
891,Octave,874501,OCTAVE SPECIALTY GROUP INC
894,iRobot,1159167,IROBOT CORP
898,Serve Robotics,1832483,Serve Robotics Inc. /DE/
906,Everbridge,1437352,"EVERBRIDGE, INC."
913,AXS,947427,AXS ONE INC
937,Zevia,1854139,Zevia PBC
939,Faraday Future,1805521,FARADAY FUTURE INTELLIGENT ELECTRIC INC.
945,Mattel,63276,MATTEL INC /DE/
975,SS&C Technologies,1402436,SS&C Technologies Holdings Inc
999,Netflix,1065280,NETFLIX INC
1007,Tech Holding,1460801,"Tri-Tech Holding, Inc."
1015,Dow Jones,29924,DOW JONES & CO INC
1023,Bedrock Energy,1434702,"Bedrock Energy, Inc."
1026,Nike,320187,NIKE INC
1044,Panavision,1022911,PANAVISION INC
1067,Recharge,1817786,Recharge Acquisition Corp.
1070,Xos Trucks,1819493,"Xos, Inc."
1074,Macerich,912242,MACERICH CO
1075,Home Alliance,813389,AMERICAN HOME ALLIANCE CORP
1091,Bold,1444275,BOLD ENERGY INC.
1102,Warp,743758,"WARP 9, INC."
1110,PVH Corp.,78239,PVH CORP. /DE/
1112,a.k.a. Brands,1865107,A.K.A. BRANDS HOLDING CORP.
1124,Dine Brands Global,49754,"Dine Brands Global, Inc."
1136,Dave Inc.,1841408,Dave Inc./DE
1141,The Honest Company,1530979,"Honest Company, Inc."
1143,Oscar Health,1568651,"Oscar Health, Inc."
1148,Rexford Industrial,1571283,"Rexford Industrial Realty, Inc."
1172,Cardlytics,1666071,"Cardlytics, Inc."
1174,EDO,31617,EDO CORP
1192,Arrowhead Pharmaceuticals,879407,"ARROWHEAD PHARMACEUTICALS, INC."
1197,Kaiser Aluminum,811596,KAISER ALUMINUM CORP
1205,Eve,1823652,"Eve Holding, Inc."
1207,Opendoor,1801169,Opendoor Technologies Inc.
1208,Toast,1650164,"Toast, Inc."
1214,Zynga,1439404,ZYNGA INC
1218,Klaviyo,1835830,"Klaviyo, Inc."
1221,Udemy,1607939,"Udemy, Inc."
1228,Proto,1443669,Proto Labs Inc
1253,Ouster,1816581,"Ouster, Inc."
1265,UserTesting,1557127,"UserTesting, Inc."
1268,Insightful,895095,INSIGHTFUL CORP
1269,Axion Ray Inc,753048,"AXION INTERNATIONAL HOLDINGS, INC."
1275,Ironclad,1455926,IRONCLAD ENCRYPTION Corp
1283,Myriad AI,899923,MYRIAD GENETICS INC
1288,Federal Home Loan Bank of San Francisco,1316944,Federal Home Loan Bank of San Francisco
1295,Mirum Pharmaceuticals,1759425,"Mirum Pharmaceuticals, Inc."
1308,E.L.F. Beauty,1600033,"e.l.f. Beauty, Inc."
1312,First Solar,1274494,"FIRST SOLAR, INC."
1326,Saga,886136,SAGA COMMUNICATIONS INC
1330,Twist Bioscience,1581280,Twist Bioscience Corp
1334,Color,819220,MULTI COLOR Corp
1347,Backblaze,1462056,"Backblaze, Inc."
1382,Figure,2064124,"Figure Technology Solutions, Inc."
1423,Prosper Marketplace,1416265,"PROSPER MARKETPLACE, INC"
1437,Once Upon a Farm,1696556,"Once Upon a Farm, PBC"
1456,Ultragenyx,1515673,Ultragenyx Pharmaceutical Inc.
1460,Energy Recovery,1421517,"Energy Recovery, Inc."
1484,SoundHound,1840856,"SOUNDHOUND AI, INC."
1500,Quince,1662774,"Quince Therapeutics, Inc."
1531,Universal Electronics,101984,UNIVERSAL ELECTRONICS INC
1536,Stitch Fix,1576942,"Stitch Fix, Inc."
1544,Dragonfly,1847986,Dragonfly Energy Holdings Corp.
1553,"Berkeley Lights, Inc.",1689657,"Berkeley Lights, Inc."
1555,iRhythm Technologies,1388658,"iRhythm Technologies, Inc."
1559,SunPower Corporation,867773,SUNPOWER CORP
1602,Remitly,1782170,"Remitly Global, Inc."
1603,System1,1805833,"System1, Inc."
1605,CrowdStrike,1535527,"CrowdStrike Holdings, Inc."
1611,Chewy,1766502,"Chewy, Inc."
1619,BlackSky,1753539,BlackSky Technology Inc.
1638,Rover,1826018,"ROVER GROUP, INC."
1642,Accretive Technology Group,1472595,"Accretive Health, Inc."
1650,Path,1059404,PATH 1 NETWORK TECHNOLOGIES INC
1653,Expeditors,746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
1656,Salesforce,1108524,"Salesforce, Inc."
1663,HomeStreet Bank,1518715,"HomeStreet, Inc."
1664,Sinclair Broadcast Group,912752,SINCLAIR BROADCAST GROUP INC
1678,Xplore,1177845,XPLORE TECHNOLOGIES CORP
1708,Trupanion,1371285,"TRUPANION, INC."
